inventory_id,source_id,study_id,site_id,species_id,species_original,chinese_name,scientific_name_original,scientific_name_accepted,taxon_rank,class,order,family,detection_confirmed,independent_records,valid_photos,valid_videos,individual_count,rai_original,rai_per_100_camera_days,occupancy,density,activity_pattern_available,china_redlist_category,iucn_category,national_protection_class,extraction_page,verification_status
INV000001,SRC000001,STU000001,SITE000001,SP000001,东北刺猬 Erinaceus amurensis,东北刺猬,Erinaceus amurensis,Erinaceus amurensis,species,Mammalia,劳亚食虫目,猬科,yes,30,30,,,0.10,0.10,,,,NR,LC,NA,PDF p.5-7; Table 2,candidate
INV000002,SRC000001,STU000001,SITE000001,SP000002,猕猴 Macaca mulatta,猕猴,Macaca mulatta,Macaca mulatta,species,Mammalia,灵长目,猴科,yes,78,78,,,0.25,0.25,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000003,SRC000001,STU000001,SITE000001,SP000003,穿山甲 Manis pentadactyla,穿山甲,Manis pentadactyla,Manis pentadactyla,species,Mammalia,鳞甲目,鲮鲤科,yes,1,1,,,0.003,0.003,,,,CR,CR,I,PDF p.5-7; Table 2,candidate
INV000004,SRC000001,STU000001,SITE000001,SP000004,黄腹鼬 Mustela kathiah,黄腹鼬,Mustela kathiah,Mustela kathiah,species,Mammalia,食肉目,鼬科,yes,45,45,,,0.15,0.15,,,,NT,LC,NA,PDF p.5-7; Table 2,candidate
INV000005,SRC000001,STU000001,SITE000001,SP000005,黄鼬 Mustela sibirica,黄鼬,Mustela sibirica,Mustela sibirica,species,Mammalia,食肉目,鼬科,yes,43,43,,,0.14,0.14,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000006,SRC000001,STU000001,SITE000001,SP000006,鼬獾 Melogale moschata,鼬獾,Melogale moschata,Melogale moschata,species,Mammalia,食肉目,鼬科,yes,125,125,,,0.40,0.40,,,,NT,LC,NA,PDF p.5-7; Table 2,candidate
INV000007,SRC000001,STU000001,SITE000001,SP000007,猪獾 Arctonyx albogularis,猪獾,Arctonyx albogularis,Arctonyx albogularis,species,Mammalia,食肉目,鼬科,yes,1211,1211,,,3.91,3.91,,,,NT,LC,NA,PDF p.5-7; Table 2,candidate
INV000008,SRC000001,STU000001,SITE000001,SP000008,果子狸 Paguma larvata,果子狸,Paguma larvata,Paguma larvata,species,Mammalia,食肉目,灵猫科,yes,755,755,,,2.44,2.44,,,,NT,LC,NA,PDF p.5-7; Table 2,candidate
INV000009,SRC000001,STU000001,SITE000001,SP000009,豹猫 Prionailurus bengalensis,豹猫,Prionailurus bengalensis,Prionailurus bengalensis,species,Mammalia,食肉目,猫科,yes,1,1,,,0.003,0.003,,,,VU,LC,II,PDF p.5-7; Table 2,candidate
INV000010,SRC000001,STU000001,SITE000001,SP000010,野猪 Sus scrofa,野猪,Sus scrofa,Sus scrofa,species,Mammalia,鲸偶蹄目,猪科,yes,2283,2283,,,7.37,7.37,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000011,SRC000001,STU000001,SITE000001,SP000011,小麂 Muntiacus reevesi,小麂,Muntiacus reevesi,Muntiacus reevesi,species,Mammalia,鲸偶蹄目,鹿科,yes,7802,7802,,,25.17,25.17,,,,VU,LC,NA,PDF p.5-7; Table 2,candidate
INV000012,SRC000001,STU000001,SITE000001,SP000012,梅花鹿 Cervus nippon,梅花鹿,Cervus nippon,Cervus nippon,species,Mammalia,鲸偶蹄目,鹿科,yes,1819,1819,,,5.87,5.87,,,,CR,LC,I,PDF p.5-7; Table 2,candidate
INV000013,SRC000001,STU000001,SITE000001,SP000013,黑麂 Muntiacus crinifrons,黑麂,Muntiacus crinifrons,Muntiacus crinifrons,species,Mammalia,鲸偶蹄目,鹿科,yes,367,367,,,1.18,1.18,,,,EN,VU,I,PDF p.5-7; Table 2,candidate
INV000014,SRC000001,STU000001,SITE000001,SP000014,中华鬣羚 Capricornis milneedwardsii,中华鬣羚,Capricornis milneedwardsii,Capricornis milneedwardsii,species,Mammalia,鲸偶蹄目,牛科,yes,98,98,,,0.32,0.32,,,,VU,NT,II,PDF p.5-7; Table 2,candidate
INV000015,SRC000001,STU000001,SITE000001,SP000015,赤腹松鼠 Callosciurus erythraeus,赤腹松鼠,Callosciurus erythraeus,Callosciurus erythraeus,species,Mammalia,啮齿目,松鼠科,yes,33,33,,,0.11,0.11,,,,NR,NR,NA,PDF p.5-7; Table 2,candidate
INV000016,SRC000001,STU000001,SITE000001,SP000016,珀氏长吻松鼠 Dremomys pernyi,珀氏长吻松鼠,Dremomys pernyi,Dremomys pernyi,species,Mammalia,啮齿目,松鼠科,yes,7,7,,,0.02,0.02,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000017,SRC000001,STU000001,SITE000001,SP000017,马来豪猪 Hystrix brachyura,马来豪猪,Hystrix brachyura,Hystrix brachyura,species,Mammalia,啮齿目,豪猪科,yes,3,3,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000018,SRC000001,STU000001,SITE000001,SP000018,华南兔 Lepus sinensis,华南兔,Lepus sinensis,Lepus sinensis,species,Mammalia,兔形目,兔科,yes,691,691,,,2.23,2.23,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000019,SRC000001,STU000001,SITE000001,SP000019,灰胸竹鸡 Bambusicola thoracicus,灰胸竹鸡,Bambusicola thoracicus,Bambusicola thoracicus,species,Aves,鸡形目,雉科,yes,20,20,,,0.06,0.06,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000020,SRC000001,STU000001,SITE000001,SP000020,勺鸡 Pucrasia macrolopha,勺鸡,Pucrasia macrolopha,Pucrasia macrolopha,species,Aves,鸡形目,雉科,yes,254,254,,,0.82,0.82,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000021,SRC000001,STU000001,SITE000001,SP000021,白鹇 Lophura nycthemera,白鹇,Lophura nycthemera,Lophura nycthemera,species,Aves,鸡形目,雉科,yes,1769,1769,,,5.71,5.71,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000022,SRC000001,STU000001,SITE000001,SP000022,白颈长尾雉 Syrmaticus ellioti,白颈长尾雉,Syrmaticus ellioti,Syrmaticus ellioti,species,Aves,鸡形目,雉科,yes,101,101,,,0.33,0.33,,,,VU,NT,I,PDF p.5-7; Table 2,candidate
INV000023,SRC000001,STU000001,SITE000001,SP000023,山斑鸠 Streptopelia orientalis,山斑鸠,Streptopelia orientalis,Streptopelia orientalis,species,Aves,鸽形目,鸠鸽科,yes,30,30,,,0.10,0.10,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000024,SRC000001,STU000001,SITE000001,SP000024,珠颈斑鸠 Streptopelia chinensis,珠颈斑鸠,Streptopelia chinensis,Streptopelia chinensis,species,Aves,鸽形目,鸠鸽科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000025,SRC000001,STU000001,SITE000001,SP000025,红翅凤头鹃 Clamator coromandus,红翅凤头鹃,Clamator coromandus,Clamator coromandus,species,Aves,鹃形目,杜鹃科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000026,SRC000001,STU000001,SITE000001,SP000026,四声杜鹃 Cuculus micropterus,四声杜鹃,Cuculus micropterus,Cuculus micropterus,species,Aves,鹃形目,杜鹃科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000027,SRC000001,STU000001,SITE000001,SP000027,丘鹬 Scolopax rusticola,丘鹬,Scolopax rusticola,Scolopax rusticola,species,Aves,鸻形目,鹬科,yes,2,2,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000028,SRC000001,STU000001,SITE000001,SP000028,蛇雕 Spilornis cheela,蛇雕,Spilornis cheela,Spilornis cheela,species,Aves,鹰形目,鹰科,yes,1,1,,,0.003,0.003,,,,NT,LC,II,PDF p.5-7; Table 2,candidate
INV000029,SRC000001,STU000001,SITE000001,SP000029,凤头鹰 Accipiter trivirgatus,凤头鹰,Accipiter trivirgatus,Accipiter trivirgatus,species,Aves,鹰形目,鹰科,yes,1,1,,,0.003,0.003,,,,NT,LC,II,PDF p.5-7; Table 2,candidate
INV000030,SRC000001,STU000001,SITE000001,SP000030,苍鹰 Accipiter gentilis,苍鹰,Accipiter gentilis,Accipiter gentilis,species,Aves,鹰形目,鹰科,yes,1,1,,,0.003,0.003,,,,NT,LC,II,PDF p.5-7; Table 2,candidate
INV000031,SRC000001,STU000001,SITE000001,SP000031,斑头鸺鹠 Glaucidium cuculoides,斑头鸺鹠,Glaucidium cuculoides,Glaucidium cuculoides,species,Aves,鸮形目,鸱鸮科,yes,1,1,,,0.003,0.003,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000032,SRC000001,STU000001,SITE000001,SP000032,灰头绿啄木鸟 Picus canus,灰头绿啄木鸟,Picus canus,Picus canus,species,Aves,啄木鸟目,啄木鸟科,yes,21,21,,,0.07,0.07,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000033,SRC000001,STU000001,SITE000001,SP000033,松鸦 Garrulus glandarius,松鸦,Garrulus glandarius,Garrulus glandarius,species,Aves,雀形目,鸦科,yes,54,54,,,0.17,0.17,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000034,SRC000001,STU000001,SITE000001,SP000034,红嘴蓝鹊 Urocissa erythrorhyncha,红嘴蓝鹊,Urocissa erythrorhyncha,Urocissa erythrorhyncha,species,Aves,雀形目,鸦科,yes,61,61,,,0.20,0.20,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000035,SRC000001,STU000001,SITE000001,SP000035,灰树鹊 Dendrocitta formosae,灰树鹊,Dendrocitta formosae,Dendrocitta formosae,species,Aves,雀形目,鸦科,yes,16,16,,,0.05,0.05,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000036,SRC000001,STU000001,SITE000001,SP000036,大山雀 Parus cinereus,大山雀,Parus cinereus,Parus cinereus,species,Aves,雀形目,山雀科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000037,SRC000001,STU000001,SITE000001,SP000037,发冠卷尾 Dicrurus hottentottus,发冠卷尾,Dicrurus hottentottus,Dicrurus hottentottus,species,Aves,雀形目,卷尾科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000038,SRC000001,STU000001,SITE000001,SP000038,绿翅短脚鹎 Ixos mcclellandii,绿翅短脚鹎,Ixos mcclellandii,Ixos mcclellandii,species,Aves,雀形目,鹎科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000039,SRC000001,STU000001,SITE000001,SP000039,画眉 Garrulax canorus,画眉,Garrulax canorus,Garrulax canorus,species,Aves,雀形目,噪鹛科,yes,11,11,,,0.04,0.04,,,,NT,LC,II,PDF p.5-7; Table 2,candidate
INV000040,SRC000001,STU000001,SITE000001,SP000040,黑领噪鹛 Garrulax pectoralis,黑领噪鹛,Garrulax pectoralis,Garrulax pectoralis,species,Aves,雀形目,噪鹛科,yes,83,83,,,0.27,0.27,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000041,SRC000001,STU000001,SITE000001,SP000041,小黑领噪鹛 Garrulax monileger,小黑领噪鹛,Garrulax monileger,Garrulax monileger,species,Aves,雀形目,噪鹛科,yes,2,2,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000042,SRC000001,STU000001,SITE000001,SP000042,棕噪鹛 Garrulax berthemyi,棕噪鹛,Garrulax berthemyi,Garrulax berthemyi,species,Aves,雀形目,噪鹛科,yes,168,168,,,0.54,0.54,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000043,SRC000001,STU000001,SITE000001,SP000043,红嘴相思鸟 Leiothrix lutea,红嘴相思鸟,Leiothrix lutea,Leiothrix lutea,species,Aves,雀形目,噪鹛科,yes,6,6,,,0.02,0.02,,,,LC,LC,II,PDF p.5-7; Table 2,candidate
INV000044,SRC000001,STU000001,SITE000001,SP000044,橙头地鸫 Geokichla citina,橙头地鸫,Geokichla citina,Geokichla citina,species,Aves,雀形目,鸫科,yes,2,2,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000045,SRC000001,STU000001,SITE000001,SP000045,虎斑地鸫 Zoothera aurea,虎斑地鸫,Zoothera aurea,Zoothera aurea,species,Aves,雀形目,鸫科,yes,25,25,,,0.08,0.08,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000046,SRC000001,STU000001,SITE000001,SP000046,乌鸫 Turdus mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus,species,Aves,雀形目,鸫科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000047,SRC000001,STU000001,SITE000001,SP000047,白腹鸫 Turdus pallidus,白腹鸫,Turdus pallidus,Turdus pallidus,species,Aves,雀形目,鸫科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000048,SRC000001,STU000001,SITE000001,SP000048,斑鸫 Turdus eunomus,斑鸫,Turdus eunomus,Turdus eunomus,species,Aves,雀形目,鸫科,yes,4,4,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000049,SRC000001,STU000001,SITE000001,SP000049,红尾鸫 Turdus naumanni,红尾鸫,Turdus naumanni,Turdus naumanni,species,Aves,雀形目,鸫科,yes,6,6,,,0.02,0.02,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000050,SRC000001,STU000001,SITE000001,SP000050,紫啸鸫 Myophonus caeruleus,紫啸鸫,Myophonus caeruleus,Myophonus caeruleus,species,Aves,雀形目,鹟科,yes,115,115,,,0.37,0.37,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000051,SRC000001,STU000001,SITE000001,SP000051,山麻雀 Passer cinnamomeus,山麻雀,Passer cinnamomeus,Passer cinnamomeus,species,Aves,雀形目,雀科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000052,SRC000001,STU000001,SITE000001,SP000052,燕雀 Fringilla montifringilla,燕雀,Fringilla montifringilla,Fringilla montifringilla,species,Aves,雀形目,燕雀科,yes,8,8,,,0.03,0.03,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000053,SRC000001,STU000001,SITE000001,SP000053,三道眉草鹀 Emberiza cioides,三道眉草鹀,Emberiza cioides,Emberiza cioides,species,Aves,雀形目,鹀科,yes,2,2,,,0.01,0.01,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
INV000054,SRC000001,STU000001,SITE000001,SP000054,黄眉鹀 Emberiza chrysophrys,黄眉鹀,Emberiza chrysophrys,Emberiza chrysophrys,species,Aves,雀形目,鹀科,yes,1,1,,,0.003,0.003,,,,LC,LC,NA,PDF p.5-7; Table 2,candidate
