species_id,taxon_name_entered,taxon_name_parsed,scientific_name_accepted,chinese_name_standard,name_status,taxon_rank,kingdom,phylum,class,order,family,genus,species,best_guess_binomial,taxonomy_source,verification_status
SP000001,东北刺猬 Erinaceus amurensis,Erinaceus amurensis,Erinaceus amurensis,东北刺猬,accepted_candidate,species,Animalia,Chordata,Mammalia,劳亚食虫目,猬科,Erinaceus,amurensis,Erinaceus amurensis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000002,猕猴 Macaca mulatta,Macaca mulatta,Macaca mulatta,猕猴,accepted_candidate,species,Animalia,Chordata,Mammalia,灵长目,猴科,Macaca,mulatta,Macaca mulatta,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000003,穿山甲 Manis pentadactyla,Manis pentadactyla,Manis pentadactyla,穿山甲,accepted_candidate,species,Animalia,Chordata,Mammalia,鳞甲目,鲮鲤科,Manis,pentadactyla,Manis pentadactyla,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000004,黄腹鼬 Mustela kathiah,Mustela kathiah,Mustela kathiah,黄腹鼬,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,鼬科,Mustela,kathiah,Mustela kathiah,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000005,黄鼬 Mustela sibirica,Mustela sibirica,Mustela sibirica,黄鼬,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,鼬科,Mustela,sibirica,Mustela sibirica,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000006,鼬獾 Melogale moschata,Melogale moschata,Melogale moschata,鼬獾,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,鼬科,Melogale,moschata,Melogale moschata,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000007,猪獾 Arctonyx albogularis,Arctonyx albogularis,Arctonyx albogularis,猪獾,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,鼬科,Arctonyx,albogularis,Arctonyx albogularis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000008,果子狸 Paguma larvata,Paguma larvata,Paguma larvata,果子狸,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,灵猫科,Paguma,larvata,Paguma larvata,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000009,豹猫 Prionailurus bengalensis,Prionailurus bengalensis,Prionailurus bengalensis,豹猫,accepted_candidate,species,Animalia,Chordata,Mammalia,食肉目,猫科,Prionailurus,bengalensis,Prionailurus bengalensis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000010,野猪 Sus scrofa,Sus scrofa,Sus scrofa,野猪,accepted_candidate,species,Animalia,Chordata,Mammalia,鲸偶蹄目,猪科,Sus,scrofa,Sus scrofa,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000011,小麂 Muntiacus reevesi,Muntiacus reevesi,Muntiacus reevesi,小麂,accepted_candidate,species,Animalia,Chordata,Mammalia,鲸偶蹄目,鹿科,Muntiacus,reevesi,Muntiacus reevesi,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000012,梅花鹿 Cervus nippon,Cervus nippon,Cervus nippon,梅花鹿,accepted_candidate,species,Animalia,Chordata,Mammalia,鲸偶蹄目,鹿科,Cervus,nippon,Cervus nippon,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000013,黑麂 Muntiacus crinifrons,Muntiacus crinifrons,Muntiacus crinifrons,黑麂,accepted_candidate,species,Animalia,Chordata,Mammalia,鲸偶蹄目,鹿科,Muntiacus,crinifrons,Muntiacus crinifrons,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000014,中华鬣羚 Capricornis milneedwardsii,Capricornis milneedwardsii,Capricornis milneedwardsii,中华鬣羚,accepted_candidate,species,Animalia,Chordata,Mammalia,鲸偶蹄目,牛科,Capricornis,milneedwardsii,Capricornis milneedwardsii,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000015,赤腹松鼠 Callosciurus erythraeus,Callosciurus erythraeus,Callosciurus erythraeus,赤腹松鼠,accepted_candidate,species,Animalia,Chordata,Mammalia,啮齿目,松鼠科,Callosciurus,erythraeus,Callosciurus erythraeus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000016,珀氏长吻松鼠 Dremomys pernyi,Dremomys pernyi,Dremomys pernyi,珀氏长吻松鼠,accepted_candidate,species,Animalia,Chordata,Mammalia,啮齿目,松鼠科,Dremomys,pernyi,Dremomys pernyi,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000017,马来豪猪 Hystrix brachyura,Hystrix brachyura,Hystrix brachyura,马来豪猪,accepted_candidate,species,Animalia,Chordata,Mammalia,啮齿目,豪猪科,Hystrix,brachyura,Hystrix brachyura,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000018,华南兔 Lepus sinensis,Lepus sinensis,Lepus sinensis,华南兔,accepted_candidate,species,Animalia,Chordata,Mammalia,兔形目,兔科,Lepus,sinensis,Lepus sinensis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000019,灰胸竹鸡 Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus,灰胸竹鸡,accepted_candidate,species,Animalia,Chordata,Aves,鸡形目,雉科,Bambusicola,thoracicus,Bambusicola thoracicus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000020,勺鸡 Pucrasia macrolopha,Pucrasia macrolopha,Pucrasia macrolopha,勺鸡,accepted_candidate,species,Animalia,Chordata,Aves,鸡形目,雉科,Pucrasia,macrolopha,Pucrasia macrolopha,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000021,白鹇 Lophura nycthemera,Lophura nycthemera,Lophura nycthemera,白鹇,accepted_candidate,species,Animalia,Chordata,Aves,鸡形目,雉科,Lophura,nycthemera,Lophura nycthemera,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000022,白颈长尾雉 Syrmaticus ellioti,Syrmaticus ellioti,Syrmaticus ellioti,白颈长尾雉,accepted_candidate,species,Animalia,Chordata,Aves,鸡形目,雉科,Syrmaticus,ellioti,Syrmaticus ellioti,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000023,山斑鸠 Streptopelia orientalis,Streptopelia orientalis,Streptopelia orientalis,山斑鸠,accepted_candidate,species,Animalia,Chordata,Aves,鸽形目,鸠鸽科,Streptopelia,orientalis,Streptopelia orientalis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000024,珠颈斑鸠 Streptopelia chinensis,Streptopelia chinensis,Streptopelia chinensis,珠颈斑鸠,accepted_candidate,species,Animalia,Chordata,Aves,鸽形目,鸠鸽科,Streptopelia,chinensis,Streptopelia chinensis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000025,红翅凤头鹃 Clamator coromandus,Clamator coromandus,Clamator coromandus,红翅凤头鹃,accepted_candidate,species,Animalia,Chordata,Aves,鹃形目,杜鹃科,Clamator,coromandus,Clamator coromandus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000026,四声杜鹃 Cuculus micropterus,Cuculus micropterus,Cuculus micropterus,四声杜鹃,accepted_candidate,species,Animalia,Chordata,Aves,鹃形目,杜鹃科,Cuculus,micropterus,Cuculus micropterus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000027,丘鹬 Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,丘鹬,accepted_candidate,species,Animalia,Chordata,Aves,鸻形目,鹬科,Scolopax,rusticola,Scolopax rusticola,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000028,蛇雕 Spilornis cheela,Spilornis cheela,Spilornis cheela,蛇雕,accepted_candidate,species,Animalia,Chordata,Aves,鹰形目,鹰科,Spilornis,cheela,Spilornis cheela,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000029,凤头鹰 Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,凤头鹰,accepted_candidate,species,Animalia,Chordata,Aves,鹰形目,鹰科,Accipiter,trivirgatus,Accipiter trivirgatus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000030,苍鹰 Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,苍鹰,accepted_candidate,species,Animalia,Chordata,Aves,鹰形目,鹰科,Accipiter,gentilis,Accipiter gentilis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000031,斑头鸺鹠 Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides,斑头鸺鹠,accepted_candidate,species,Animalia,Chordata,Aves,鸮形目,鸱鸮科,Glaucidium,cuculoides,Glaucidium cuculoides,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000032,灰头绿啄木鸟 Picus canus,Picus canus,Picus canus,灰头绿啄木鸟,accepted_candidate,species,Animalia,Chordata,Aves,啄木鸟目,啄木鸟科,Picus,canus,Picus canus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000033,松鸦 Garrulus glandarius,Garrulus glandarius,Garrulus glandarius,松鸦,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸦科,Garrulus,glandarius,Garrulus glandarius,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000034,红嘴蓝鹊 Urocissa erythrorhyncha,Urocissa erythrorhyncha,Urocissa erythrorhyncha,红嘴蓝鹊,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸦科,Urocissa,erythrorhyncha,Urocissa erythrorhyncha,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000035,灰树鹊 Dendrocitta formosae,Dendrocitta formosae,Dendrocitta formosae,灰树鹊,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸦科,Dendrocitta,formosae,Dendrocitta formosae,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000036,大山雀 Parus cinereus,Parus cinereus,Parus cinereus,大山雀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,山雀科,Parus,cinereus,Parus cinereus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000037,发冠卷尾 Dicrurus hottentottus,Dicrurus hottentottus,Dicrurus hottentottus,发冠卷尾,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,卷尾科,Dicrurus,hottentottus,Dicrurus hottentottus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000038,绿翅短脚鹎 Ixos mcclellandii,Ixos mcclellandii,Ixos mcclellandii,绿翅短脚鹎,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹎科,Ixos,mcclellandii,Ixos mcclellandii,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000039,画眉 Garrulax canorus,Garrulax canorus,Garrulax canorus,画眉,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,canorus,Garrulax canorus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000040,黑领噪鹛 Garrulax pectoralis,Garrulax pectoralis,Garrulax pectoralis,黑领噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,pectoralis,Garrulax pectoralis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000041,小黑领噪鹛 Garrulax monileger,Garrulax monileger,Garrulax monileger,小黑领噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,monileger,Garrulax monileger,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000042,棕噪鹛 Garrulax berthemyi,Garrulax berthemyi,Garrulax berthemyi,棕噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,berthemyi,Garrulax berthemyi,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000043,红嘴相思鸟 Leiothrix lutea,Leiothrix lutea,Leiothrix lutea,红嘴相思鸟,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Leiothrix,lutea,Leiothrix lutea,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000044,橙头地鸫 Geokichla citina,Geokichla citina,Geokichla citina,橙头地鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Geokichla,citina,Geokichla citina,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000045,虎斑地鸫 Zoothera aurea,Zoothera aurea,Zoothera aurea,虎斑地鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Zoothera,aurea,Zoothera aurea,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000046,乌鸫 Turdus mandarinus,Turdus mandarinus,Turdus mandarinus,乌鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,mandarinus,Turdus mandarinus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000047,白腹鸫 Turdus pallidus,Turdus pallidus,Turdus pallidus,白腹鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,pallidus,Turdus pallidus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000048,斑鸫 Turdus eunomus,Turdus eunomus,Turdus eunomus,斑鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,eunomus,Turdus eunomus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000049,红尾鸫 Turdus naumanni,Turdus naumanni,Turdus naumanni,红尾鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,naumanni,Turdus naumanni,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000050,紫啸鸫 Myophonus caeruleus,Myophonus caeruleus,Myophonus caeruleus,紫啸鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹟科,Myophonus,caeruleus,Myophonus caeruleus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000051,山麻雀 Passer cinnamomeus,Passer cinnamomeus,Passer cinnamomeus,山麻雀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,雀科,Passer,cinnamomeus,Passer cinnamomeus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000052,燕雀 Fringilla montifringilla,Fringilla montifringilla,Fringilla montifringilla,燕雀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,燕雀科,Fringilla,montifringilla,Fringilla montifringilla,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000053,三道眉草鹀 Emberiza cioides,Emberiza cioides,Emberiza cioides,三道眉草鹀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹀科,Emberiza,cioides,Emberiza cioides,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000054,黄眉鹀 Emberiza chrysophrys,Emberiza chrysophrys,Emberiza chrysophrys,黄眉鹀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹀科,Emberiza,chrysophrys,Emberiza chrysophrys,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
